Longitude (x),Latitude (y),Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-79.4,43.67,TORONTO CITY,2003-01-01,2003,1,1,1.6,-6.8,-2.6,20.6,0,,,0,1,,
-79.4,43.67,TORONTO CITY,2003-01-02,2003,1,2,-4.1,-9.2,-6.7,24.7,0,,,4.3,1,,
-79.4,43.67,TORONTO CITY,2003-01-03,2003,1,3,0.4,-5.4,-2.5,20.5,0,,,14.6,9,,
-79.4,43.67,TORONTO CITY,2003-01-04,2003,1,4,-0.6,-3.5,-2.1,20.1,0,,,1.6,17,,
-79.4,43.67,TORONTO CITY,2003-01-05,2003,1,5,-0.9,-2.8,-1.9,19.9,0,,,0,17,,
-79.4,43.67,TORONTO CITY,2003-01-06,2003,1,6,-0.3,-10.6,-5.5,23.5,0,,,2,16,,
-79.4,43.67,TORONTO CITY,2003-01-07,2003,1,7,0.5,-11.9,-5.7,23.7,0,,,1.4,16,,
-79.4,43.67,TORONTO CITY,2003-01-08,2003,1,8,5.1,0.5,2.8,15.2,0,,,0,16,,
-79.4,43.67,TORONTO CITY,2003-01-09,2003,1,9,5.5,-4.5,0.5,17.5,0,,,6,11,,
-79.4,43.67,TORONTO CITY,2003-01-10,2003,1,10,-2,-9,-5.5,23.5,0,,,0.8,18,,
-79.4,43.67,TORONTO CITY,2003-01-11,2003,1,11,-3.1,-6.8,-5,23,0,,,0,14,,
-79.4,43.67,TORONTO CITY,2003-01-12,2003,1,12,-0.1,-5.4,-2.8,20.8,0,,,0.6,12,,
-79.4,43.67,TORONTO CITY,2003-01-13,2003,1,13,-1.9,-7.8,-4.9,22.9,0,,,0,12,,
-79.4,43.67,TORONTO CITY,2003-01-14,2003,1,14,-5.2,-10.1,-7.7,25.7,0,,,,11,,
-79.4,43.67,TORONTO CITY,2003-01-15,2003,1,15,-3.3,-7.7,-5.5,23.5,0,,,,12,,
-79.4,43.67,TORONTO CITY,2003-01-16,2003,1,16,-4.8,-7.5,-6.2,24.2,0,,,0,12,,
-79.4,43.67,TORONTO CITY,2003-01-17,2003,1,17,-6.1,-16.8,-11.5,29.5,0,,,0,11,,
-79.4,43.67,TORONTO CITY,2003-01-18,2003,1,18,-4,-12.9,-8.5,26.5,0,,,,12,,
-79.4,43.67,TORONTO CITY,2003-01-19,2003,1,19,-5,-8.8,-6.9,24.9,0,,,,12,,
-79.4,43.67,TORONTO CITY,2003-01-20,2003,1,20,-7.3,-11.3,-9.3,27.3,0,,,0,12,,
-79.4,43.67,TORONTO CITY,2003-01-21,2003,1,21,-9.5,-13.6,-11.6,29.6,0,,,0,12,,
-79.4,43.67,TORONTO CITY,2003-01-22,2003,1,22,-10.2,-18.8,-14.5,32.5,0,,,0,12,,
-79.4,43.67,TORONTO CITY,2003-01-23,2003,1,23,-12.6,-17.5,-15.1,33.1,0,,,1.3,12,,
-79.4,43.67,TORONTO CITY,2003-01-24,2003,1,24,-5,-15.4,-10.2,28.2,0,,,,13,,
-79.4,43.67,TORONTO CITY,2003-01-25,2003,1,25,,,,,,,,,,,
-79.4,43.67,TORONTO CITY,2003-01-26,2003,1,26,-4,-17.9,-11,29,0,,,0.8,14,,
-79.4,43.67,TORONTO CITY,2003-01-27,2003,1,27,-9.7,-20.4,-15.1,33.1,0,,,0,12,,
